url,Nature of Business,Location,Year of Establishment,Main Categories,Major Markets,Total Employees,Annual Turnover,Brands,Contact Person,Position,Office Address,Country/Region
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Heao-Industrial-Co-Ltd/1S00P03TI,,Chinese Mainland,,,,,,,Ms Michelle Ting,,,Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Changfa-Craft-Packing-Products-Co-Ltd-/1S00P06Y0,,Chinese Mainland,,,,,,,JingFan Zhang,Manager,"Room 402, Building 1, No. 2 Zhengkeng Lane, Chang'an Town, Dongguan City, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-DongHong-Paper-Products-Co-Ltd-/1S00P072N,,Chinese Mainland,,,,,,,Wendy -,Sales,"NO. 2001, Fengshuo Square, No.22 Yuanmei Road, Nancheng District, Dongguan City, China 523000",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/DongGuan-GanXing-Trading-Co-Ltd-/1S00P0W04,,Chinese Mainland,,,,,,,JIN WANG,GM,"Room 902, BLd3, NO.8, Hengzhutang Road, Liaobu Town, Dongguan City, Guangdong Province, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Jiurun-Printing-Packaging-Technology-Co-Ltd-/1S00OO3PU,,Chinese Mainland,,,,,,,Honghu Wang,,"NO.1 Tuanjie South Road, Shutian,Humen Town, Dongguan City, Guangdong, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Xianjunlong-Paper-Product-Co-Limited/1S00OND8Z,,Chinese Mainland,,Paper Packaging,,,,,Mr xiansheng Luo,,,Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-XinYuanjia-Environmental-Technology-Co-Ltd-/1S00O9WTP,,Chinese Mainland,,,,,,,Allen Shi,GM,"NO.7, Guohai Road, Chenwubei Village, Changping Town, Dongguan City, Guangdong, China 523576",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Fujian-Jiamei-Group-Xiamen-Import-Export-Co-Ltd-/1S00OQ891,,Chinese Mainland,,,,,,,Winnie -,Sales Manager,"51 Pingcheng North Road Zhongcang Industrial Area, Haicang District, Xiamen, Fujian 351026, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangdong-Huasheng-Element-Leather-Co-Ltd/1X0AE3CF,,Chinese Mainland,,,,,,,JERRY Zheng,GENERAL MANAGER,,Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangdong-Sensheng-Carbon-Neutralization-Technology-Co-Ltd-/1S00P070T,,Chinese Mainland,,"Gift Packaging, Gifts / Souvenirs, Paper Packaging, Smokers' Accessories, Stationery",,,,,Yufa Lin,,"No 42 Nanxi Road.Houjie Town, Dongguan City, Guangdong Province, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Emon-Trading-Company/1S00O9WWG,,Chinese Mainland,,"Packaging & Displaying Materials, Paper Packaging",,,,,Janey Lee,Project Manager,"A4 1303 Room, R&F Gold Harbor City, Huadong Town Huadu District Guagnzhou, China 510890",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guilin-Fadeli-Packing-Co-Ltd/1S00P0QHV,,Chinese Mainland,,"Gift Packaging, Smokers' Accessories",,,,,Long Tang,,"Room 818,Gutangli, Tannan Village,yangjia village committe,ertang tow guilin city, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Cailang-Printing-Company/1X09G9UF,,Chinese Mainland,,,,,,,Bally Lau,Sales Manager,"Dalubei Zhenlong Town HuiYang Area, Huizhou City, Guangdong Province, China 516227",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ijen-Dongguan-Paper-Products-Co-Ltd/1X0AQEO6,,Chinese Mainland,,,,,,,Francis Leung,General Manager,,Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Qingdao-Perfect-Luxury-Packaging-Co-Ltd/1X0AQIB7,,Chinese Mainland,,,,,,,Alex -,Sales Manager,"266000, No 888 Heshan Rd Jimo, Qingdao Shandong China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Qingdao-Yuanrong-Packaging-Co-Ltd-/1S00OYNS1,,Chinese Mainland,,,,,,,Ms Kelly Wang,,,Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Quanzhou-Haitong-Electronic-Equipment-Co-Ltd-/1S00P06ZX,,Chinese Mainland,,,,,,,Zhen Fan Fu,President,"No.930 Nanhuan Road, Licheng District, Quanzhou City, Fujian Province, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/SEISMO-Packaging/1S00P12GM,,Chinese Mainland,,,,,,,zhang,,"Room 502, Building 5, Yinfeng road, Nancheng Distr 4B, Unit1,Times Central No.102 ZhongxinRoad,Shangx",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-CFY-Paper-Tube-Co-Ltd-/1S00OOF2F,,Chinese Mainland,,,,,,,Sunny,Sales,"Building 5, Unit 301, Lan Hui Cheng Yang Garden, Longhua District, No. 121 Guanlan Avenue, Sihe Community, Fucheng Street, Shenzhen City, Guangdong 518000, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Cote-Cheng-Electronic-Co-Ltd-/1X0APBJK,,Chinese Mainland,,"Consumer Electronics, Paper Packaging, Printed Matters",,,,,Jennie Wong,,"4th Floor, A Building, Jiajizhou Industrial Area, Liuxian 1st Road, Baoan 71th District, Shenzhen City, Guangdong Province, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Yuhua-Packing-Products-Co-Ltd-/1S00ONR9I,,Chinese Mainland,,,,,,,Arthur Kang,,,Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Viet-Style-Service-Trading-Company-Limited/1X0AC1DK,,Vietnam,,,,,,,Lan Vo,,"5D6, 30.4 Apartment Building, Dien Bien Phu Street, Ward 25, Binh Thanh District, Ho Chi Minh City, Vietnam 70000",Vietnam
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Wenzhou-Haode-Trading-Co-Ltd-/1S00P0VVK,,Chinese Mainland,,,,,,,Rose Luo,Sales,"No.147,Youdian Road, Tengjiao Town, Wenzhou, Zhejiang, China 325404",Chinese Mainland
